trade_date,trade_month,interest_rate
4-Jun-18,6,1.5
5-Jun-18,6,1.5
6-Jun-18,6,1.5
7-Jun-18,6,1.5
8-Jun-18,6,1.5
12-Jun-18,6,1.5
13-Jun-18,6,1.5
14-Jun-18,6,1.5
15-Jun-18,6,1.5
18-Jun-18,6,1.5
19-Jun-18,6,1.5
20-Jun-18,6,1.5
21-Jun-18,6,1.5
22-Jun-18,6,1.5
25-Jun-18,6,1.5
26-Jun-18,6,1.5
27-Jun-18,6,1.5
28-Jun-18,6,1.5
29-Jun-18,6,1.5
2-Jul-18,7,1.5
3-Jul-18,7,1.5
4-Jul-18,7,1.5
5-Jul-18,7,1.5
6-Jul-18,7,1.5
9-Jul-18,7,1.5
10-Jul-18,7,1.5
11-Jul-18,7,1.5
12-Jul-18,7,1.5
13-Jul-18,7,1.5
16-Jul-18,7,1.5
17-Jul-18,7,1.5
18-Jul-18,7,1.5
19-Jul-18,7,1.5
20-Jul-18,7,1.5
23-Jul-18,7,1.5
24-Jul-18,7,1.5
25-Jul-18,7,1.5
26-Jul-18,7,1.5
27-Jul-18,7,1.5
30-Jul-18,7,1.5
31-Jul-18,7,1.5
1-Aug-18,8,1.5
2-Aug-18,8,1.5
3-Aug-18,8,1.5
6-Aug-18,8,1.5
7-Aug-18,8,1.5
8-Aug-18,8,1.5
9-Aug-18,8,1.5
10-Aug-18,8,1.5
13-Aug-18,8,1.5
14-Aug-18,8,1.5
15-Aug-18,8,1.5
16-Aug-18,8,1.5
17-Aug-18,8,1.5
20-Aug-18,8,1.5
21-Aug-18,8,1.5
22-Aug-18,8,1.5
23-Aug-18,8,1.5
24-Aug-18,8,1.5
27-Aug-18,8,1.5
28-Aug-18,8,1.5
29-Aug-18,8,1.5
30-Aug-18,8,1.5
31-Aug-18,8,1.5
3-Sep-18,9,1.5
4-Sep-18,9,1.5
5-Sep-18,9,1.5
6-Sep-18,9,1.5
7-Sep-18,9,1.5
10-Sep-18,9,1.5
11-Sep-18,9,1.5
12-Sep-18,9,1.5
13-Sep-18,9,1.5
14-Sep-18,9,1.5
17-Sep-18,9,1.5
18-Sep-18,9,1.5
19-Sep-18,9,1.5
20-Sep-18,9,1.5
21-Sep-18,9,1.5
24-Sep-18,9,1.5
25-Sep-18,9,1.5
26-Sep-18,9,1.5
27-Sep-18,9,1.5
28-Sep-18,9,1.5
1-Oct-18,10,1.5
2-Oct-18,10,1.5
3-Oct-18,10,1.5
4-Oct-18,10,1.5
5-Oct-18,10,1.5
8-Oct-18,10,1.5
9-Oct-18,10,1.5
10-Oct-18,10,1.5
11-Oct-18,10,1.5
12-Oct-18,10,1.5
15-Oct-18,10,1.5
16-Oct-18,10,1.5
17-Oct-18,10,1.5
18-Oct-18,10,1.5
19-Oct-18,10,1.5
22-Oct-18,10,1.5
23-Oct-18,10,1.5
24-Oct-18,10,1.5
25-Oct-18,10,1.5
26-Oct-18,10,1.5
29-Oct-18,10,1.5
30-Oct-18,10,1.5
31-Oct-18,10,1.5
1-Nov-18,11,1.5
2-Nov-18,11,1.5
5-Nov-18,11,1.5
6-Nov-18,11,1.5
7-Nov-18,11,1.5
8-Nov-18,11,1.5
9-Nov-18,11,1.5
12-Nov-18,11,1.5
13-Nov-18,11,1.5
14-Nov-18,11,1.5
15-Nov-18,11,1.5
16-Nov-18,11,1.5
19-Nov-18,11,1.5
20-Nov-18,11,1.5
21-Nov-18,11,1.5
22-Nov-18,11,1.5
23-Nov-18,11,1.5
26-Nov-18,11,1.5
27-Nov-18,11,1.5
28-Nov-18,11,1.5
29-Nov-18,11,1.5
30-Nov-18,11,1.5
3-Dec-18,12,1.5
4-Dec-18,12,1.5
5-Dec-18,12,1.5
6-Dec-18,12,1.5
7-Dec-18,12,1.5
10-Dec-18,12,1.5
11-Dec-18,12,1.5
12-Dec-18,12,1.5
13-Dec-18,12,1.5
14-Dec-18,12,1.5
17-Dec-18,12,1.5
18-Dec-18,12,1.5
19-Dec-18,12,1.5
20-Dec-18,12,1.5
21-Dec-18,12,1.5
24-Dec-18,12,1.5
27-Dec-18,12,1.5
28-Dec-18,12,1.5
31-Dec-18,12,1.5
2-Jan-19,1,1.5
3-Jan-19,1,1.5
4-Jan-19,1,1.5
7-Jan-19,1,1.5
8-Jan-19,1,1.5
9-Jan-19,1,1.5
10-Jan-19,1,1.5
11-Jan-19,1,1.5
14-Jan-19,1,1.5
15-Jan-19,1,1.5
16-Jan-19,1,1.5
17-Jan-19,1,1.5
18-Jan-19,1,1.5
21-Jan-19,1,1.5
22-Jan-19,1,1.5
23-Jan-19,1,1.5
24-Jan-19,1,1.5
25-Jan-19,1,1.5
29-Jan-19,1,1.5
30-Jan-19,1,1.5
31-Jan-19,1,1.5
1-Feb-19,2,1.5
4-Feb-19,2,1.5
5-Feb-19,2,1.5
6-Feb-19,2,1.5
7-Feb-19,2,1.5
8-Feb-19,2,1.5
11-Feb-19,2,1.5
12-Feb-19,2,1.5
13-Feb-19,2,1.5
14-Feb-19,2,1.5
15-Feb-19,2,1.5
18-Feb-19,2,1.5
19-Feb-19,2,1.5
20-Feb-19,2,1.5
21-Feb-19,2,1.5
22-Feb-19,2,1.5
25-Feb-19,2,1.5
26-Feb-19,2,1.5
27-Feb-19,2,1.5
28-Feb-19,2,1.5
1-Mar-19,3,1.5
4-Mar-19,3,1.5
5-Mar-19,3,1.5
6-Mar-19,3,1.5
7-Mar-19,3,1.5
8-Mar-19,3,1.5
11-Mar-19,3,1.5
12-Mar-19,3,1.5
13-Mar-19,3,1.5
14-Mar-19,3,1.5
15-Mar-19,3,1.5
18-Mar-19,3,1.5
19-Mar-19,3,1.5
20-Mar-19,3,1.5
21-Mar-19,3,1.5
22-Mar-19,3,1.5
25-Mar-19,3,1.5
26-Mar-19,3,1.5
27-Mar-19,3,1.5
28-Mar-19,3,1.5
29-Mar-19,3,1.5
1-Apr-19,4,1.5
2-Apr-19,4,1.5
3-Apr-19,4,1.5
